시도,시군구,범죄
서울특별시,,3
부산광역시,,5
대구광역시,,3
인천광역시,,2
광주광역시,,4
대전광역시,,4
울산광역시,,2
세종특별자치시,,1
경기도,,4
강원특별자치도,,3
충청북도,,3
충청남도,,3
전북특별자치도,,2
전라남도,,1
경상북도,,2
경상남도,,4
제주특별자치도,,5
경기,수원시,4
경기,성남시,4
경기,의정부시,4
경기,안양시,3
경기,부천시,5
경기,광명시,3
경기,평택시,5
경기,동두천시,5
경기,안산시,5
경기,고양시,3
경기,과천시,2
경기,구리시,4
경기,남양주시,3
경기,오산시,4
경기,시흥시,4
경기,군포시,3
경기,의왕시,2
경기,하남시,3
경기,용인시,3
경기,파주시,3
경기,이천시,3
경기,안성시,3
경기,김포시,4
경기,화성시,3
경기,광주시,3
경기,양주시,2
경기,포천시,3
경기,여주시,2
강원,춘천시,3
강원,원주시,3
강원,강릉시,4
강원,동해시,2
강원,태백시,1
강원,속초시,5
강원,삼척시,1
충북,청주시,4
충북,충주시,2
충북,제천시,2
충남,천안시,5
충남,공주시,1
충남,보령시,1
충남,아산시,4
충남,서산시,2
충남,논산시,2
충남,계룡시,1
충남,당진시,2
전북,전주시,4
전북,군산시,3
전북,익산시,3
전북,정읍시,2
전북,남원시,1
전북,김제시,1
전남,목포시,5
전남,여수시,4
전남,순천시,4
전남,나주시,2
전남,광양시,3
경북,포항시,3
경북,경주시,3
경북,김천시,2
경북,안동시,2
경북,구미시,4
경북,영주시,2
경북,영천시,2
경북,상주시,2
경북,문경시,2
경북,경산시,3
경남,창원시,4
경남,진주시,5
경남,통영시,4
경남,사천시,3
경남,김해시,4
경남,밀양시,2
경남,거제시,4
경남,양산시,4
부산,기장군,5
대구,달성군,5
대구,군위군,2
인천,강화군,3
인천,옹진군,2
울산,울주군,4
경기,연천군,5
경기,가평군,5
경기,양평군,4
강원,홍천군,4
강원,횡성군,3
강원,영월군,3
강원,평창군,4
강원,정선군,3
강원,철원군,5
강원,화천군,3
강원,양구군,4
강원,인제군,3
강원,고성군,4
강원,양양군,4
충북,보은군,2
충북,옥천군,3
충북,영동군,1
충북,증평군,4
충북,진천군,5
충북,괴산군,2
충북,음성군,5
충북,단양군,2
충남,금산군,3
충남,부여군,3
충남,서천군,3
충남,청양군,1
충남,홍성군,4
충남,예산군,4
충남,태안군,4
전북,완주군,4
전북,진안군,1
전북,무주군,2
전북,장수군,1
전북,임실군,1
전북,순창군,1
전북,고창군,2
전북,부안군,3
전남,담양군,2
전남,곡성군,1
전남,구례군,3
전남,고흥군,3
전남,보성군,3
전남,화순군,2
전남,장흥군,2
전남,강진군,3
전남,해남군,3
전남,영암군,4
전남,무안군,4
전남,함평군,2
전남,영광군,4
전남,장성군,3
전남,완도군,3
전남,진도군,3
전남,신안군,2
경북,의성군,2
경북,청송군,3
경북,영양군,2
경북,영덕군,4
경북,청도군,4
경북,고령군,2
경북,성주군,3
경북,칠곡군,5
경북,예천군,3
경북,봉화군,2
경북,울진군,4
경북,울릉군,1
경남,의령군,2
경남,함안군,4
경남,창녕군,4
경남,고성군,3
경남,남해군,3
경남,하동군,2
경남,산청군,2
경남,함양군,3
경남,거창군,4
경남,합천군,2
서울,종로구,5
서울,중구,5
서울,용산구,5
서울,성동구,2
서울,광진구,3
서울,동대문구,3
서울,중랑구,3
서울,성북구,1
서울,강북구,3
서울,도봉구,1
서울,노원구,2
서울,은평구,2
서울,서대문구,2
서울,마포구,4
서울,양천구,2
서울,강서구,2
서울,구로구,3
서울,금천구,3
서울,영등포구,4
서울,동작구,2
서울,관악구,4
서울,서초구,3
서울,강남구,4
서울,송파구,3
서울,강동구,2
부산,중구,5
부산,서구,4
부산,동구,5
부산,영도구,3
부산,부산진구,5
부산,동래구,4
부산,남구,2
부산,북구,3
부산,해운대구,3
부산,사하구,3
부산,금정구,3
부산,강서구,1
부산,연제구,1
부산,수영구,4
부산,사상구,4
대구,중구,5
대구,동구,3
대구,서구,4
대구,남구,4
대구,북구,3
대구,수성구,2
대구,달서구,3
인천,중구,3
인천,동구,1
인천,미추홀구,4
인천,연수구,2
인천,남동구,3
인천,부평구,4
인천,계양구,2
인천,서구,1
광주,동구,4
광주,서구,4
광주,남구,2
광주,북구,3
광주,광산구,3
대전,동구,3
대전,중구,4
대전,서구,4
대전,유성구,2
대전,대덕구,2
울산,중구,1
울산,남구,4
울산,동구,2
울산,북구,2
